n,Year_Month,citizen_ge,visitor_type_en,pa_ge,pa_en,visits
1,2014-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,43
2,2014-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,93
3,2014-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,113
4,2014-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,333
5,2014-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,883
6,2014-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1514
7,2014-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2772
8,2014-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1650
9,2014-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,603
10,2014-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,96
11,2014-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,11
12,2014-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,23
13,2014-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,50
14,2014-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,60
15,2014-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,156
16,2014-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,236
17,2014-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,144
18,2014-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,42
19,2014-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,6
20,2015-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,5
21,2015-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,84
22,2015-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,97
23,2015-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,219
24,2015-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,592
25,2015-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,805
26,2015-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1009
27,2015-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2162
28,2015-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1197
29,2015-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,744
30,2015-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,505
31,2015-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,167
32,2015-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,18
33,2015-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,12
34,2015-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,42
35,2015-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,63
36,2015-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,36
37,2015-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,33
38,2015-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,83
39,2015-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,66
40,2015-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,67
41,2015-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,22
42,2015-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,2
43,2016-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,62
44,2016-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,213
45,2016-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,386
46,2016-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,610
47,2016-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1227
48,2016-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1207
49,2016-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1735
50,2016-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,6631
51,2016-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1339
52,2016-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,967
53,2016-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,964
54,2016-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,153
55,2016-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,7
56,2016-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,5
57,2016-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,5
58,2016-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,25
59,2016-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,34
60,2016-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,66
61,2016-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,92
62,2016-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,133
63,2016-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,128
64,2016-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,47
65,2016-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,33
66,2016-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,7
67,2017-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,102
68,2017-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,305
69,2017-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1120
70,2017-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1722
71,2017-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3153
72,2017-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3717
73,2017-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3541
74,2017-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,6336
75,2017-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3504
76,2017-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2793
77,2017-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,654
78,2017-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,223
79,2017-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,13
80,2017-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,21
81,2017-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,54
82,2017-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,58
83,2017-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,43
84,2017-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,119
85,2017-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,75
86,2017-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,123
87,2017-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,58
88,2017-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,40
89,2017-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,246
90,2018-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,125
91,2018-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,182
92,2018-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,952
93,2018-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1950
94,2018-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3500
95,2018-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,4200
96,2018-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,5300
97,2018-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,7000
98,2018-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,4930
99,2018-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3000
100,2018-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,925
101,2018-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,320
102,2018-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,29
103,2018-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,20
104,2018-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,35
105,2018-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,60
106,2018-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,40
107,2018-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,100
108,2018-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,250
109,2018-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,150
110,2018-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,70
111,2018-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,60
112,2018-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,30
113,2018-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,20
114,2019-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,150
115,2019-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,260
116,2019-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1150
117,2019-04,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2900
118,2019-05,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,4000
119,2019-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,4850
120,2019-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,6500
121,2019-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,8500
122,2019-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,4960
123,2019-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1750
124,2019-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,950
125,2019-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,335
126,2019-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,12
127,2019-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,23
128,2019-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,80
129,2019-04,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,100
130,2019-05,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,185
131,2019-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,220
132,2019-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,150
133,2019-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,300
134,2019-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,140
135,2019-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,200
136,2019-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,28
137,2019-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,15
138,2020-01,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,178
139,2020-02,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,290
140,2020-03,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,458
141,2020-06,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,3250
142,2020-07,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,5100
143,2020-08,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2540
144,2020-09,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1310
145,2020-10,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,2150
146,2020-11,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,1100
147,2020-12,ქართველი,Domestic,ალგეთის ეროვნული პარკი,Algeti National Park,520
148,2020-01,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,15
149,2020-02,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,10
150,2020-03,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,12
151,2020-06,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,75
152,2020-07,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,30
153,2020-08,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,33
154,2020-09,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,20
155,2020-10,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,10
156,2020-11,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,5
157,2020-12,უცხოელი,International,ალგეთის ეროვნული პარკი,Algeti National Park,4
158,2014-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,490
159,2014-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,406
160,2014-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,555
161,2014-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1174
162,2014-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2591
163,2014-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4606
164,2014-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,6828
165,2014-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,7115
166,2014-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3679
167,2014-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2487
168,2014-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1888
169,2014-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,493
170,2014-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,87
171,2014-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,90
172,2014-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,177
173,2014-04,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,542
174,2014-05,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1425
175,2014-06,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1669
176,2014-07,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3518
177,2014-08,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4888
178,2014-09,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3083
179,2014-10,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1430
180,2014-11,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,262
181,2014-12,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,66
182,2015-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,607
183,2015-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,500
184,2015-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,725
185,2015-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1240
186,2015-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2714
187,2015-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4612
188,2015-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,7083
189,2015-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,6637
190,2015-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3786
191,2015-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2628
192,2015-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1941
193,2015-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,484
194,2015-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,109
195,2015-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,97
196,2015-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,203
197,2015-04,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,599
198,2015-05,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1539
199,2015-06,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1738
200,2015-07,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3837
201,2015-08,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5472
202,2015-09,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3163
203,2015-10,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1444
204,2015-11,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,312
205,2015-12,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,103
206,2016-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,643
207,2016-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,603
208,2016-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,816
209,2016-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1378
210,2016-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2988
211,2016-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5590
212,2016-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,7500
213,2016-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,6857
214,2016-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3911
215,2016-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2771
216,2016-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1963
217,2016-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,509
218,2016-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,122
219,2016-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,107
220,2016-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,291
221,2016-04,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,670
222,2016-05,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1552
223,2016-06,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2260
224,2016-07,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4113
225,2016-08,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5848
226,2016-09,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3231
227,2016-10,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1492
228,2016-11,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,485
229,2016-12,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,118
230,2017-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,679
231,2017-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,625
232,2017-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,905
233,2017-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1452
234,2017-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3091
235,2017-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5814
236,2017-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,7765
237,2017-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,8133
238,2017-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4335
239,2017-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2902
240,2017-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2058
241,2017-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,529
242,2017-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,128
243,2017-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,177
244,2017-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,360
245,2017-04,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,698
246,2017-05,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1611
247,2017-06,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2270
248,2017-07,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4444
249,2017-08,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,5907
250,2017-09,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3293
251,2017-10,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1597
252,2017-11,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,531
253,2017-12,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,154
254,2018-01,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,756
255,2018-02,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,720
256,2018-03,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,973
257,2018-04,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,1570
258,2018-05,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,3339
259,2018-06,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,6000
260,2018-07,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,7916
261,2018-08,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,8325
262,2018-09,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,4464
263,2018-10,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2957
264,2018-11,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,2113
265,2018-12,ქართველი,Domestic,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,565
266,2018-01,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,213
267,2018-02,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,193
268,2018-03,უცხოელი,International,ბორჯომ-ხარაგაულის ეროვნული პარკი,Borjomi-Kharagauli National Park,397
